"timestamp","total_bikes","total_docks","utilization_rate","active_stations","total_stations","active_pct","avg_bikes_per_station","median_capacity","empty_stations","empty_pct","full_stations","full_pct"
"2025-07-07 23:03:34",6391,10021,38.941018766756,922,922,100,6.93167028199566,19,128,13.882863340564,65,7.04989154013015
"2025-07-07 23:15:36",6405,9982,39.0858607432721,921,921,100,6.95439739413681,19,121,13.1378935939197,69,7.49185667752443
"2025-07-07 23:33:39",6501,9885,39.6741120468693,921,921,100,7.0586319218241,19,131,14.2236699239957,69,7.49185667752443
"2025-07-08 00:15:46",6564,9891,39.8906107566089,921,921,100,7.12703583061889,19,143,15.5266015200869,66,7.16612377850163
"2025-07-08 01:09:55",6689,9772,40.6354413462123,921,921,100,7.26275787187839,19,146,15.8523344191097,70,7.60043431053203
"2025-07-08 02:10:06",6754,9785,40.8368099643267,921,921,100,7.33333333333333,19,147,15.9609120521173,71,7.70901194353963
"2025-07-08 03:10:15",6865,9732,41.36289690908,921,921,100,7.45385450597177,19,134,14.5494028230185,67,7.27470141150923
"2025-07-08 04:10:25",6975,9698,41.8341030408445,921,921,100,7.57328990228013,19,126,13.6807817589577,70,7.60043431053203
"2025-07-08 05:10:35",7008,9666,42.0295070169126,921,921,100,7.60912052117264,19,125,13.5722041259501,66,7.16612377850163
"2025-07-08 06:07:45",7052,9647,42.2300736571052,921,921,100,7.65689467969598,19,112,12.1606948968512,47,5.10314875135722
"2025-07-08 07:07:56",6926,9798,41.4135374312365,921,921,100,7.52008686210641,19,92,9.98914223669924,34,3.69163952225842
"2025-07-08 08:11:06",6364,10366,38.0394500896593,921,921,100,6.90988056460369,19,111,12.0521172638436,19,2.06297502714441
"2025-07-08 09:17:17",6018,10681,36.0380861129409,921,921,100,6.53420195439739,19,160,17.3724212812161,41,4.45168295331162
"2025-07-08 10:08:26",6112,10600,36.5725227381522,921,921,100,6.63626492942454,19,154,16.7209554831705,50,5.42888165038002
"2025-07-08 11:08:37",6067,10641,36.311946372995,921,921,100,6.58740499457112,19,162,17.5895765472313,49,5.32030401737242
"2025-07-08 12:08:47",6023,10663,36.0961284909505,921,921,100,6.53963083604777,19,166,18.0238870792617,34,3.69163952225842
"2025-07-08 13:08:58",6044,10666,36.1699581089168,922,922,100,6.55531453362256,19,145,15.7266811279826,33,3.57917570498915
"2025-07-08 14:09:09",6138,10575,36.725901992461,923,923,100,6.65005417118093,19,122,13.2177681473456,31,3.35861321776815
"2025-07-08 15:09:19",6115,10595,36.5948533812089,923,923,100,6.62513542795233,19,108,11.7009750812568,20,2.16684723726977
"2025-07-08 16:09:30",6023,10721,35.971094123268,924,924,100,6.51839826839827,19,103,11.1471861471861,18,1.94805194805195
"2025-07-08 17:09:40",5717,10977,34.2458368276027,924,924,100,6.18722943722944,19,113,12.2294372294372,10,1.08225108225108
"2025-07-08 18:09:51",5852,10791,35.1619299405155,924,924,100,6.33333333333333,19,138,14.9350649350649,40,4.32900432900433
"2025-07-08 19:10:02",5915,10647,35.7142857142857,924,924,100,6.40151515151515,19,145,15.6926406926407,56,6.06060606060606
"2025-07-09 13:10:10",6056,10709,36.1228750372801,926,926,100,6.53995680345572,19,145,15.658747300216,23,2.48380129589633
"2025-07-10 13:09:42",6053,10572,36.409022556391,925,925,100,6.54378378378378,19,147,15.8918918918919,27,2.91891891891892
"2025-07-11 13:10:52",6333,10286,38.1069859799025,926,926,100,6.83909287257019,19,109,11.7710583153348,29,3.1317494600432
"2025-07-12 13:09:00",5907,10744,35.4753468260165,926,926,100,6.37904967602592,19,118,12.7429805615551,28,3.02375809935205
