"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning"
"7083","Danforth Ave / Barrington Ave",15,5,9,1751972979,43.688325,-79.300463,1,1,1
"7084","High Park - Grenadier Cafe",11,3,6,1751972949,43.645599,-79.4657123,1,1,1
"7085","Danforth Ave / Westlake Ave",15,2,13,1751972918,43.687323,-79.304848,1,1,1
"7086","High Park - West Rd",23,0,21,1751972939,43.651922,-79.465693,1,1,1
"7087","Danforth Ave / Aldridge Ave",11,5,6,1751972930,43.684758,-79.316767,1,1,1
"7088","Danforth Ave / Coxwell Ave",15,11,4,1751972886,43.683378,-79.322961,1,1,1
"7089","Church St  / Wood St",27,26,1,1751972889,43.662712,-79.379903,1,1,1
"7090","Danforth Ave / Lamb Ave",18,11,5,1751972953,43.681991,-79.329455,1,1,1
"7091","Donlands Subway Station",15,0,15,1751972982,43.681114,-79.3373885,1,1,1
"7093","Danforth Ave / Gough Ave",25,22,1,1751972893,43.678401,-79.346289,1,1,1
"7094","14 Arundel Ave",25,23,1,1751972972,43.6784834,-79.3513564,1,1,1
"7095","Danforth Ave / Ellerbeck St",14,5,8,1751972869,43.677076,-79.35667,1,1,1
"7096","Lower Don River Trail and Taylor Creek Trail",19,1,15,1751972871,43.7027268,-79.3336809,1,1,1
"7097","Riverdale Park North (Broadview Ave)",15,4,5,1751972950,43.671172,-79.354704,1,1,1
"7098","Riverdale Park South (Broadview Ave)",15,5,9,1751973004,43.667819,-79.35347,1,1,1
"7100","Dundas St E / Regent Park Blvd",27,22,5,1751972875,43.660207,-79.361275,1,1,1
"7101","Lower Sherbourne St / The Esplanade",27,23,2,1751972992,43.648655,-79.367061,1,1,1
"7102","Nelson St / Duncan St",31,1,26,1751972984,43.648711,-79.389728,1,1,1
"7103","Jimmie Simpson Park (Queen St E)",15,11,2,1751972994,43.6605603,-79.3437663,1,1,1
"7104","King St E / River St",15,8,5,1751973017,43.6567847828531,-79.3562738505904,1,1,1
"7105","Queen St E / Sackville St",15,8,5,1751972971,43.6561111,-79.3613888888889,1,1,1
"7106","Mill St / Tannery Rd",27,25,2,1751972975,43.652219,-79.354455,1,1,1
"7107","Cherry St / Distillery Ln",15,5,6,1751972965,43.650279,-79.356832,1,1,1
"7108","Front St E / Cherry St",15,8,3,1751972858,43.652686,-79.358395,1,1,1
"7110","Queen St E / Berkeley St",15,10,5,1751972920,43.6552778,-79.3658333333333,1,1,1
"7111","King St W / Douro St",11,9,1,1751972870,43.640885,-79.416379,1,1,1
"7112","Liberty St / Fraser Ave Green P",19,17,0,1751972944,43.637981,-79.424146,1,1,1
"7113","Parliament St / Aberdeen Ave",15,4,11,1751972973,43.665278,-79.368333,1,1,1
