"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning","capture_timestamp"
7057,"Simcoe St / Wellington St W South",27,1,24,1751943772,43.6458569,-79.3853654,1,1,1,2025-07-07 23:03:34
7059,"Front St W / Blue Jays Way",15,4,6,1751943850,43.643473,-79.390477,1,1,1,2025-07-07 23:03:34
7061,"Dalton Rd / Bloor St W",15,2,10,1751943877,43.6662942,-79.4066433,1,1,1,2025-07-07 23:03:34
7063,"Queen's Park / Bloor St W",23,1,21,1751943880,43.668456,-79.393899,1,1,1,2025-07-07 23:03:34
7064,"51 Parliament St",19,16,3,1751943832,43.652169,-79.362841,1,1,1,2025-07-07 23:03:34
7065,"Dundas St E / Parliament St",15,12,1,1751943797,43.659575,-79.365769,1,1,1,2025-07-07 23:03:34
7066,"Willcocks St / St. George St",15,0,14,1751943802,43.662085,-79.397735,1,1,1,2025-07-07 23:03:34
7068,"Blantyre Park",22,13,8,1751943779,43.6830689,-79.279682,1,1,1,2025-07-07 23:03:34
7069,"Queen St W / Spadina Ave",11,7,3,1751943750,43.649147,-79.395504,1,1,1,2025-07-07 23:03:34
7070,"25 York St – Union Station South",11,9,2,1751943709,43.643667,-79.380414,1,1,1,2025-07-07 23:03:34
7071,"161 Bleecker St (South of Wellesley)",23,6,17,1751943870,43.666233,-79.373327,1,1,1,2025-07-07 23:03:34
7073,"Spadina Ave / Fort York Blvd",23,7,12,1751943716,43.640114,-79.393249,1,1,1,2025-07-07 23:03:34
7075,"Queens Quay W / Dan Leckie Way",27,19,4,1751943729,43.636533,-79.395854,1,1,1,2025-07-07 23:03:34
7076,"York St / Queens Quay W",57,17,38,1751943813,43.640132,-79.380464,1,1,1,2025-07-07 23:03:34
7077,"College Park South",19,0,18,1751943862,43.65945682499,-79.3823646686478,1,1,1,2025-07-07 23:03:34
7078,"College St / Major St",15,2,8,1751943817,43.6576,-79.4032,1,1,1,2025-07-07 23:03:34
7079,"McGill St / Church St",19,1,16,1751943772,43.660694,-79.379052,1,1,1,2025-07-07 23:03:34
7083,"Danforth Ave / Barrington Ave",15,4,10,1751943743,43.688325,-79.300463,1,1,1,2025-07-07 23:03:34
7084,"High Park - Grenadier Cafe",11,3,6,1751943714,43.645599,-79.4657123,1,1,1,2025-07-07 23:03:34
7085,"Danforth Ave / Westlake Ave",15,2,13,1751943853,43.687323,-79.304848,1,1,1,2025-07-07 23:03:34
7086,"High Park - West Rd",23,0,21,1751943703,43.651922,-79.465693,1,1,1,2025-07-07 23:03:34
7087,"Danforth Ave / Aldridge Ave",11,7,4,1751943874,43.684758,-79.316767,1,1,1,2025-07-07 23:03:34
7088,"Danforth Ave / Coxwell Ave",15,12,3,1751943830,43.683378,-79.322961,1,1,1,2025-07-07 23:03:34
7089,"Church St  / Wood St",27,2,25,1751943829,43.662712,-79.379903,1,1,1,2025-07-07 23:03:34
7090,"Danforth Ave / Lamb Ave",18,2,15,1751943719,43.681991,-79.329455,1,1,1,2025-07-07 23:03:34
7091,"Donlands Subway Station",15,1,14,1751943745,43.681114,-79.3373885,1,1,1,2025-07-07 23:03:34
7093,"Danforth Ave / Gough Ave",25,21,2,1751943826,43.678401,-79.346289,1,1,1,2025-07-07 23:03:34
7094,"14 Arundel Ave",25,15,8,1751943735,43.6784834,-79.3513564,1,1,1,2025-07-07 23:03:34
7095,"Danforth Ave / Ellerbeck St",14,8,4,1751943814,43.677076,-79.35667,1,1,1,2025-07-07 23:03:34
7096,"Lower Don River Trail and Taylor Creek Trail",19,1,15,1751943815,43.7027268,-79.3336809,1,1,1,2025-07-07 23:03:34
7097,"Riverdale Park North (Broadview Ave)",15,4,4,1751943710,43.671172,-79.354704,1,1,1,2025-07-07 23:03:34
7098,"Riverdale Park South (Broadview Ave)",15,7,7,1751943764,43.667819,-79.35347,1,1,1,2025-07-07 23:03:34
7100,"Dundas St E / Regent Park Blvd",27,26,1,1751943816,43.660207,-79.361275,1,1,1,2025-07-07 23:03:34
7101,"Lower Sherbourne St / The Esplanade",27,24,1,1751943754,43.648655,-79.367061,1,1,1,2025-07-07 23:03:34
7102,"Nelson St / Duncan St",31,18,10,1751943749,43.648711,-79.389728,1,1,1,2025-07-07 23:03:34
7103,"Jimmie Simpson Park (Queen St E)",15,10,3,1751943751,43.6605603,-79.3437663,1,1,1,2025-07-07 23:03:34
7104,"King St E / River St",15,12,1,1751943775,43.6567847828531,-79.3562738505904,1,1,1,2025-07-07 23:03:34
7105,"Queen St E / Sackville St",15,11,1,1751943731,43.6561111,-79.3613888888889,1,1,1,2025-07-07 23:03:34
7106,"Mill St / Tannery Rd",27,25,0,1751943737,43.652219,-79.354455,1,1,1,2025-07-07 23:03:34
7107,"Cherry St / Distillery Ln",15,11,0,1751943727,43.650279,-79.356832,1,1,1,2025-07-07 23:03:34
7108,"Front St E / Cherry St",15,9,0,1751943795,43.652686,-79.358395,1,1,1,2025-07-07 23:03:34
7110,"Queen St E / Berkeley St",15,13,2,1751943859,43.6552778,-79.3658333333333,1,1,1,2025-07-07 23:03:34
7111,"King St W / Douro St",11,10,0,1751943812,43.640885,-79.416379,1,1,1,2025-07-07 23:03:34
7112,"Liberty St / Fraser Ave Green P",19,13,5,1751943874,43.637981,-79.424146,1,1,1,2025-07-07 23:03:34
7113,"Parliament St / Aberdeen Ave",15,5,10,1751943739,43.665278,-79.368333,1,1,1,2025-07-07 23:03:34
7114,"Carlton St / Parliament St",27,13,12,1751943833,43.664524,-79.36793,1,1,1,2025-07-07 23:03:34
7115,"Howard St / Sherbourne St",31,3,25,1751943714,43.6712581,-79.376367,1,1,1,2025-07-07 23:03:34
7116,"Bloor St E / Parliament St",19,3,13,1751943789,43.6719461020018,-79.3724511533729,1,1,1,2025-07-07 23:03:34
7117,"640 Bloor Street E",19,2,12,1751943782,43.6746885744863,-79.3670196239627,1,1,1,2025-07-07 23:03:34
7118,"King St W / Bay St (East Side)",19,1,14,1751943808,43.648575,-79.380042,1,1,1,2025-07-07 23:03:34
7119,"Sumach St / Carlton St (Riverdale Farm)",15,6,8,1751943761,43.665867,-79.362506,1,1,1,2025-07-07 23:03:34
7120,"Gerrard St E / River St",11,8,1,1751943876,43.663993,-79.358534,1,1,1,2025-07-07 23:03:34
7121,"Jarvis St / Dundas St E",27,17,9,1751943823,43.657266,-79.374756,1,1,1,2025-07-07 23:03:34
7122,"Niagara St / Tecumseth St",15,7,7,1751943879,43.641389,-79.404444,1,1,1,2025-07-07 23:03:34
7123,"420 Wellington St W",15,8,1,1751943764,43.643834,-79.396649,1,1,1,2025-07-07 23:03:34
7124,"Dundas St E / Broadview Ave",19,10,7,1751943744,43.662365,-79.351104,1,1,1,2025-07-07 23:03:34
7126,"Yonge St / Yorkville Ave",16,0,14,1751943704,43.671944,-79.387778,1,1,1,2025-07-07 23:03:34
7127,"Bay St / Scollard St",15,0,14,1751943866,43.672152,-79.39018,1,1,1,2025-07-07 23:03:34
7128,"Yonge St / Aylmer Ave",23,1,21,1751943716,43.675492,-79.388858,1,1,1,2025-07-07 23:03:34
7129,"Davenport Rd / Avenue Rd",11,4,5,1751943719,43.674991,-79.396273,1,1,1,2025-07-07 23:03:34
7130,"Davenport Rd / Bedford Rd",15,0,14,1751943730,43.674446,-79.398331,1,1,1,2025-07-07 23:03:34
7131,"Taddle Creek Park",15,0,14,1751943732,43.66986,-79.398443,1,1,1,2025-07-07 23:03:34
7132,"Kendal Ave / Spadina Rd",9,7,2,1751943851,43.670318,-79.405181,1,1,1,2025-07-07 23:03:34
7133,"Summerhill Subway Station",11,1,8,1751943753,43.6820118906123,-79.3913070185242,1,1,1,2025-07-07 23:03:34
7135,"Hanna Ave / Liberty St",32,29,0,1751943770,43.6386086016367,-79.4196543736107,1,1,1,2025-07-07 23:03:34
7137,"Davenport Rd / Bathurst St",15,1,13,1751943856,43.676667,-79.416111,1,1,1,2025-07-07 23:03:34
7138,"Davenport Rd / Christie St",27,0,24,1751943873,43.675278,-79.423889,1,1,1,2025-07-07 23:03:34
7139,"Glen Edyth Dr / Davenport Rd",15,1,13,1751943807,43.677778,-79.405556,1,1,1,2025-07-07 23:03:34
7140,"Macpherson Ave / Spadina Rd",15,1,11,1751943717,43.675791,-79.40698,1,1,1,2025-07-07 23:03:34
7141,"Bridgman Ave / Kendal Ave",15,0,14,1751943775,43.675556,-79.410278,1,1,1,2025-07-07 23:03:34
7142,"Bridgman Ave / Bathurst St",15,2,11,1751943747,43.674444,-79.414722,1,1,1,2025-07-07 23:03:34
7143,"Kendal Ave / Bernard Ave",15,2,8,1751943810,43.671513,-79.408317,1,1,1,2025-07-07 23:03:34
7144,"Palmerston Ave / Vermont Ave",15,2,10,1751943753,43.671389,-79.416389,1,1,1,2025-07-07 23:03:34
7146,"Christie St / Benson Ave (Wychwood Barns)",19,1,16,1751943834,43.68,-79.425,1,1,1,2025-07-07 23:03:34
7147,"King St W / Fraser Ave",15,15,0,1751943801,43.6394444,-79.4252777777778,1,1,1,2025-07-07 23:03:34
7148,"King St W / Joe Shuster Way",23,19,0,1751943851,43.639444,-79.423611,1,1,1,2025-07-07 23:03:34
7149,"Yarmouth Rd / Christie St",11,9,1,1751943721,43.67,-79.4208333333333,1,1,1,2025-07-07 23:03:34
7150,"Dufferin St / Sylvan Av (Dufferin Grove Park)",19,10,5,1751943882,43.6555556,-79.4336111111111,1,1,1,2025-07-07 23:03:34
7151,"Essex St / Christie St",19,4,14,1751943724,43.6686111,-79.4202777777778,1,1,1,2025-07-07 23:03:34
7153,"Bloor St W / Christie St",19,1,16,1751943705,43.6638889,-79.4188888888889,1,1,1,2025-07-07 23:03:34
7154,"Bathurst Subway Station",23,2,19,1751943724,43.6666667,-79.4116666666667,1,1,1,2025-07-07 23:03:34
7155,"Bathurst St / Lennox St",19,0,17,1751943725,43.663808,-79.410491,1,1,1,2025-07-07 23:03:34
7156,"Salem Ave / Bloor St W",15,2,11,1751943715,43.6608333,-79.4316666666667,1,1,1,2025-07-07 23:03:34
7157,"Dufferin St / Bloor St W",22,5,15,1751943762,43.6608333333333,-79.4358333333333,1,1,1,2025-07-07 23:03:34
7158,"King St W / Stafford St",15,13,0,1751943750,43.6422222,-79.4111111111111,1,1,1,2025-07-07 23:03:34
7160,"King St W / Tecumseth St",19,7,10,1751943856,43.6433333333333,-79.4055555555556,1,1,1,2025-07-07 23:03:34
7161,"Beverley St / College St",23,0,18,1751943716,43.6575,-79.3952777777778,1,1,1,2025-07-07 23:03:34
7162,"Hayter St / La Plante Ave",23,0,21,1751943859,43.6591666666667,-79.3855555555556,1,1,1,2025-07-07 23:03:34
7164,"Gould St / Yonge St (TMU)",23,0,17,1751943753,43.657424,-79.381019,1,1,1,2025-07-07 23:03:34
7168,"Queens Quay / Yonge St",46,12,31,1751943706,43.641646,-79.375308,1,1,1,2025-07-07 23:03:34
7169,"Front St W / Bay St (North Side)",11,1,9,1751943757,43.646162,-79.378912,1,1,1,2025-07-07 23:03:34
7170,"Spadina Ave / Willcocks St",15,2,12,1751943790,43.6616667,-79.4013888888889,1,1,1,2025-07-07 23:03:34
7171,"Ontario Place Blvd / Lake Shore Blvd W",27,9,17,1751943711,43.6322445,-79.4108105,1,1,1,2025-07-07 23:03:34
7172,"Strachan Ave / Princes' Blvd",19,17,1,1751943835,43.635,-79.4088888888889,1,1,1,2025-07-07 23:03:34
